
Corrida;Generación;Mínimo;Máximo;Media;Varianza
1;0;15600.000000;41000.000000;25624.666016;24405632.000000;0.000000
1;0;14600.000000;39800.000000;25634.000000;22406148.000000;0.000000
1;1;16000.000000;48400.000000;25740.666016;24353794.000000;0.000000
1;2;15800.000000;46000.000000;25015.333984;21644094.000000;0.000000
1;3;14400.000000;49000.000000;25526.666016;26559564.000000;0.000000
1;4;15800.000000;39000.000000;24696.000000;19717178.000000;0.000000
1;5;17000.000000;43200.000000;25544.666016;23017802.000000;0.000000
1;6;16000.000000;46800.000000;24890.000000;21449914.000000;0.000000
1;7;16200.000000;43400.000000;25208.666016;21059092.000000;0.000000
1;8;14400.000000;47400.000000;25140.000000;24138246.000000;0.000000
1;9;17200.000000;42000.000000;25465.333984;21876480.000000;0.000000
1;10;15800.000000;45400.000000;25294.666016;22206630.000000;0.000000
1;11;14400.000000;44200.000000;25301.333984;21809838.000000;0.000000
1;12;16000.000000;42200.000000;25385.333984;19594860.000000;0.000000
1;13;16800.000000;41200.000000;25440.000000;22873826.000000;0.000000
1;14;15400.000000;48000.000000;25357.333984;26625318.000000;0.000000
1;15;17000.000000;41000.000000;24762.666016;17450630.000000;0.000000
1;16;15000.000000;43600.000000;25574.666016;23533970.000000;0.000000
1;17;15000.000000;49000.000000;25202.000000;25087428.000000;0.000000
1;18;15000.000000;49000.000000;25425.333984;24593736.000000;0.000000
1;19;15600.000000;50400.000000;25378.666016;23672620.000000;0.000000
1;20;15400.000000;41400.000000;24858.000000;19593564.000000;0.000000
1;21;15600.000000;41400.000000;25358.000000;21602614.000000;0.000000
1;22;15800.000000;41800.000000;25116.666016;23888420.000000;0.000000
1;23;15800.000000;43600.000000;25138.666016;23341826.000000;0.000000
1;24;16000.000000;38200.000000;24664.666016;17785904.000000;0.000000
1;25;15400.000000;40200.000000;25137.333984;18813684.000000;0.000000
1;26;16200.000000;41600.000000;24787.333984;16623077.000000;0.000000
1;27;16800.000000;48400.000000;25400.000000;21995824.000000;0.000000
1;28;17000.000000;43600.000000;25404.666016;23176532.000000;0.000000
1;29;16200.000000;44200.000000;24914.666016;22969628.000000;0.000000
1;30;16800.000000;44200.000000;24746.666016;21114512.000000;0.000000
1;31;14400.000000;43000.000000;24652.666016;20457114.000000;0.000000
1;32;14400.000000;41800.000000;24360.666016;18179880.000000;0.000000
1;33;15200.000000;49400.000000;25181.333984;19636436.000000;0.000000
1;34;16400.000000;41200.000000;24796.000000;19374122.000000;0.000000
1;35;16600.000000;42000.000000;24881.333984;18986618.000000;0.000000
1;36;16200.000000;42400.000000;24956.000000;19759866.000000;0.000000
1;37;14600.000000;39200.000000;24580.666016;16703717.000000;0.000000
1;38;14800.000000;42200.000000;24432.666016;17842088.000000;0.000000
1;39;15400.000000;39200.000000;24998.000000;23007952.000000;0.000000
1;40;16800.000000;44400.000000;25268.000000;24078950.000000;0.000000
1;41;15200.000000;42800.000000;25029.333984;19901830.000000;0.000000
1;42;16800.000000;43200.000000;24898.666016;17745140.000000;0.000000
1;43;16000.000000;43600.000000;25404.000000;24794976.000000;0.000000
1;44;16800.000000;45600.000000;24840.000000;22428376.000000;0.000000
1;45;16800.000000;50000.000000;24587.333984;21869804.000000;0.000000
1;46;16000.000000;50000.000000;24815.333984;20776528.000000;0.000000
1;47;15200.000000;47600.000000;24586.666016;20940854.000000;0.000000
1;48;14800.000000;43600.000000;25300.000000;23389528.000000;0.000000
1;49;17400.000000;42600.000000;25036.000000;21047186.000000;0.000000
1;50;17600.000000;41000.000000;24994.000000;22876526.000000;0.000000
1;51;15600.000000;42400.000000;24922.000000;22722366.000000;0.000000
1;52;15600.000000;39000.000000;24744.666016;20813288.000000;0.000000
1;53;15400.000000;41200.000000;24928.000000;19626844.000000;0.000000
1;54;15800.000000;45000.000000;24594.000000;21198716.000000;0.000000
1;55;15000.000000;39800.000000;24304.000000;21970306.000000;0.000000
1;56;15000.000000;39800.000000;24714.666016;18346940.000000;0.000000
1;57;15800.000000;41600.000000;24908.000000;21942312.000000;0.000000
1;58;15800.000000;47600.000000;25088.000000;28037230.000000;0.000000
1;59;14600.000000;44400.000000;25077.333984;25292436.000000;0.000000
1;60;15800.000000;43000.000000;24924.666016;23028128.000000;0.000000
1;61;16200.000000;40200.000000;24823.333984;20100672.000000;0.000000
1;62;16400.000000;39800.000000;25210.000000;20822206.000000;0.000000
1;63;14200.000000;44400.000000;25171.333984;21202794.000000;0.000000
1;64;14200.000000;42600.000000;24606.666016;21085900.000000;0.000000
1;65;16000.000000;43800.000000;25302.666016;21108372.000000;0.000000
1;66;15800.000000;49200.000000;25898.000000;24893192.000000;0.000000
1;67;15800.000000;47400.000000;25095.333984;21858654.000000;0.000000
1;68;14600.000000;43200.000000;25064.666016;22329980.000000;0.000000
1;69;15200.000000;39600.000000;25012.000000;20822384.000000;0.000000
1;70;16400.000000;46200.000000;25110.000000;21456248.000000;0.000000
1;71;16400.000000;43800.000000;24918.666016;21452748.000000;0.000000
1;72;15000.000000;46400.000000;24542.000000;19352116.000000;0.000000
1;73;16400.000000;42600.000000;24676.000000;18766338.000000;0.000000
1;74;16000.000000;47400.000000;24797.333984;22305692.000000;0.000000
1;75;16000.000000;47400.000000;24856.666016;23552612.000000;0.000000
1;76;15800.000000;41800.000000;25281.333984;21285656.000000;0.000000
1;77;15800.000000;44000.000000;24889.333984;22999734.000000;0.000000
1;78;14400.000000;44400.000000;25434.666016;25407548.000000;0.000000
1;79;17000.000000;45200.000000;25083.333984;21842576.000000;0.000000
1;80;14600.000000;40600.000000;24658.666016;20637148.000000;0.000000
1;81;14600.000000;39000.000000;24524.666016;17658476.000000;0.000000
1;82;15400.000000;39200.000000;24529.333984;20011720.000000;0.000000
1;83;15400.000000;40800.000000;25138.666016;23073620.000000;0.000000
1;84;15200.000000;42600.000000;24907.333984;23172724.000000;0.000000
1;85;15200.000000;43000.000000;25185.333984;20143960.000000;0.000000
1;86;16000.000000;42800.000000;24771.333984;21726536.000000;0.000000
1;87;15200.000000;48400.000000;24773.333984;21488184.000000;0.000000
1;88;16800.000000;40600.000000;25066.666016;21820008.000000;0.000000
1;89;16000.000000;40600.000000;24708.000000;18810140.000000;0.000000
1;90;15400.000000;42600.000000;25145.333984;20828554.000000;0.000000
1;91;16000.000000;42200.000000;25285.333984;21506752.000000;0.000000
1;92;15400.000000;45800.000000;25222.000000;25831218.000000;0.000000
1;93;16000.000000;44400.000000;24939.333984;23474898.000000;0.000000
1;94;16600.000000;40000.000000;25192.666016;21792440.000000;0.000000
1;95;17000.000000;50000.000000;25252.000000;21537560.000000;0.000000
1;96;15800.000000;42600.000000;25670.666016;22450240.000000;0.000000
1;97;15800.000000;43800.000000;25545.333984;26945490.000000;0.000000
1;98;15200.000000;41000.000000;24638.666016;21715118.000000;0.000000
1;99;16200.000000;51400.000000;24788.666016;23269892.000000;0.000000
1;100;16200.000000;41800.000000;25282.666016;22604662.000000;0.000000
1;101;16400.000000;39200.000000;25198.000000;19210728.000000;0.000000
1;102;16200.000000;39200.000000;25033.333984;21789938.000000;0.000000
1;103;16800.000000;45600.000000;24797.333984;21120692.000000;0.000000
1;104;16800.000000;46200.000000;25138.666016;24265228.000000;0.000000
1;105;16800.000000;41200.000000;25208.000000;23407292.000000;0.000000
1;106;15400.000000;43200.000000;25160.666016;25725306.000000;0.000000
1;107;16400.000000;45200.000000;24829.333984;23524108.000000;0.000000
1;108;15600.000000;53000.000000;24622.666016;22456386.000000;0.000000
1;109;15400.000000;42200.000000;24287.333984;21352864.000000;0.000000
1;110;15600.000000;42000.000000;24520.000000;20101726.000000;0.000000
1;111;15600.000000;44400.000000;24761.333984;26092256.000000;0.000000
1;112;15800.000000;40200.000000;24898.666016;23132036.000000;0.000000
1;113;15800.000000;40000.000000;24496.000000;22281792.000000;0.000000
1;114;15600.000000;47400.000000;24604.666016;22853306.000000;0.000000
1;115;15800.000000;42200.000000;24530.000000;19776648.000000;0.000000
1;116;14200.000000;41000.000000;24234.666016;20557728.000000;0.000000
1;117;16400.000000;39600.000000;24544.000000;18325026.000000;0.000000
1;118;15600.000000;41400.000000;24681.333984;19635856.000000;0.000000
1;119;16000.000000;45600.000000;24513.333984;23046308.000000;0.000000
1;120;15600.000000;39800.000000;24503.333984;21319446.000000;0.000000
1;121;15600.000000;42000.000000;24082.666016;18210008.000000;0.000000
1;122;15600.000000;39600.000000;24162.666016;21270654.000000;0.000000
1;123;16600.000000;42800.000000;24132.666016;20124070.000000;0.000000
1;124;15000.000000;49200.000000;24260.000000;21879936.000000;0.000000
1;125;15000.000000;39000.000000;24388.666016;18467444.000000;0.000000
1;126;15600.000000;42600.000000;24498.666016;18870550.000000;0.000000
1;127;17000.000000;43200.000000;24120.000000;16402054.000000;0.000000
1;128;15200.000000;49000.000000;24262.666016;24290258.000000;0.000000
